Numero de accidentes por año:  5783
Total de fallecidos:  115122
fallecidos por año:
|      |   sum |   count |     mean |   max |   min |
| 2005 |  1317 |      52 | 25.3269  |   160 |     0 |
| 2006 |  1161 |      51 | 22.7647  |   170 |     1 |
| 2007 |   931 |      54 | 17.2407  |   187 |     0 |
| 2008 |   824 |      63 | 13.0794  |   154 |     0 |
| 2009 |  1095 |      52 | 21.0577  |   228 |     0 |
| 2010 |  1087 |      48 | 22.6458  |   159 |     2 |
| 2011 |   764 |      46 | 16.6087  |    80 |     1 |
| 2012 |   596 |      29 | 20.5517  |   153 |     0 |
| 2013 |   341 |      33 | 10.3333  |    50 |     0 |
| 2014 |  1189 |      33 | 36.0303  |   298 |     1 |
| 2015 |   774 |      22 | 35.1818  |   224 |     0 |
| 2016 |   519 |      24 | 21.625   |    92 |     0 |
| 2017 |   197 |      14 | 14.0714  |   122 |     1 |
| 2018 |   853 |      18 | 47.3889  |   257 |     1 |
fallecidos por mes:
|           |   sum |   count |    mean |   max |   min |
|-----------+-------+---------+---------+-------+-------|
| April     |  7739 |     415 | 18.6482 |   264 |     0 |
| August    | 10806 |     525 | 20.5829 |   520 |     0 |
| December  | 11318 |     572 | 19.7867 |   259 |     0 |
| February  |  8672 |     432 | 20.0741 |   275 |     0 |
| January   |  9146 |     536 | 17.0634 |   213 |     0 |
| July      | 10650 |     475 | 22.4211 |   298 |     0 |
| June      |  8714 |     419 | 20.7971 |   329 |     0 |
| March     |  9560 |     491 | 19.4705 |   583 |     0 |
| May       |  8052 |     402 | 20.0299 |   271 |     0 |
| November  | 10702 |     508 | 21.0669 |   349 |     0 |
| October   |  8864 |     500 | 17.728  |   224 |     0 |
| September | 10899 |     508 | 21.4547 |   269 |     0 |
Año con mas fallecidos:
1972
Año con menos fallecidos:
1908
Fallecidos por aereonave:
|                                          |   sum |   count |       mean |   max |   min |
|------------------------------------------+-------+---------+------------+-------+-------|
|                                          |   290 |      24 |  12.0833   |    70 |     0 |
| A-7D Corsair                             |    10 |       1 |  10        |    10 |    10 |
| AAC-1 Toucan                             |    23 |       1 |  23        |    23 |    23 |
| AEGK                                     |     5 |       1 |   5        |     5 |     5 |
| AT L98 Carvair                           |     4 |       1 |   4        |     4 |     4 |
| ATR 42-300                               |    56 |       2 |  28        |    54 |     2 |
| ATR 42-320                               |    17 |       1 |  17        |    17 |    17 |
| ATR 72-201                               |    33 |       1 |  33        |    33 |    33 |
| ATR 72-500                               |    48 |       1 |  48        |    48 |    48 |
| ATR 72-600                               |    40 |       1 |  40        |    40 |    40 |
| ATR-42-300                               |    46 |       1 |  46        |    46 |    46 |
| ATR-42-320                               |     2 |       1 |   2        |     2 |     2 |
| ATR-42-500                               |    48 |       1 |  48        |    48 |    48 |
| ATR-72-202                               |    16 |       1 |  16        |    16 |    16 |
| ATR-72-212                               |   136 |       2 |  68        |    68 |    68 |
| ATR-72-212A                              |     1 |       1 |   1        |     1 |     1 |
| ATR-72-50                                |    49 |       1 |  49        |    49 |    49 |
| ATR42-320                                |     1 |       1 |   1        |     1 |     1 |
| Aermacchi MB-339PAN (3 aircraft)         |     3 |       1 |   3        |     3 |     3 |
| Aero Commander  520                      |     6 |       1 |   6        |     6 |     6 |
| Aero Commander 500-B                     |     2 |       1 |   2        |     2 |     2 |
| Aero Commander 500A                      |     7 |       1 |   7        |     7 |     7 |
| Aero Commander 560                       |     2 |       1 |   2        |     2 |     2 |
| Aero Commander 560-A                     |     5 |       1 |   5        |     5 |     5 |
| Aero Commander 560-F                     |     3 |       1 |   3        |     3 |     3 |
| Aero Commander 680                       |     6 |       2 |   3        |     4 |     2 |
| Aero Commander 680-E                     |     7 |       1 |   7        |     7 |     7 |
| Aero Commander 680E                      |     8 |       2 |   4        |     6 |     2 |
| Aero Commander 680F                      |     6 |       1 |   6        |     6 |     6 |
| Aero Commander 681                       |     2 |       1 |   2        |     2 |     2 |
| Aero Commander AC 520                    |     2 |       1 |   2        |     2 |     2 |
| Aerocomp Comp Air 8                      |     8 |       1 |   8        |     8 |     8 |
| Aeroflot                                 |    84 |       3 |  28        |    32 |    25 |
| Aeromarine Model 85 (flying boat)        |     5 |       1 |   5        |     5 |     5 |
| Aerospatiale 330G Puma                   |    10 |       1 |  10        |    10 |    10 |
| Aerospatiale 330J Puma                   |    13 |       1 |  13        |    13 |    13 |
| Aerospatiale 350B1                       |     3 |       1 |   3        |     3 |     3 |
| Aerospatiale 350D                        |     2 |       1 |   2        |     2 |     2 |
| Aerospatiale AS 332L1 Super Puma         |     8 |       1 |   8        |     8 |     8 |
| Aerospatiale AS 350B2 Ecureuil           |     7 |       1 |   7        |     7 |     7 |
| Aerospatiale AS-350 B2 Ecureuil          |     5 |       1 |   5        |     5 |     5 |
| Aerospatiale AS-350B                     |     7 |       1 |   7        |     7 |     7 |
| Aerospatiale AS-350BA                    |     4 |       1 |   4        |     4 |     4 |
| Aerospatiale AS350                       |     3 |       1 |   3        |     3 |     3 |
| Aerospatiale AS350 Eurocopter  helicoper |     6 |       1 |   6        |     6 |     6 |
| Aerospatiale AS350BA                     |     7 |       1 |   7        |     7 |     7 |
| Aerospatiale AS350BA Rotocraft           |     4 |       1 |   4        |     4 |     4 |
| Aerospatiale AS350D                      |     3 |       1 |   3        |     3 |     3 |
| Aerospatiale AS355-F1                    |     7 |       1 |   7        |     7 |     7 |
| Aerospatiale ATR-42-300                  |    44 |       1 |  44        |    44 |    44 |
| Aerospatiale ATR-42-512                  |     1 |       1 |   1        |     1 |     1 |
| Aerospatiale ATR-72                      |     4 |       1 |   4        |     4 |     4 |
| Aerospatiale Alenia ATR-42               |    24 |       1 |  24        |    24 |    24 |
| Aerospatiale Alenia ATR-42-312           |    37 |       1 |  37        |    37 |    37 |
| Aerospatiale BAe Concorde 101            |   109 |       1 | 109        |   109 |   109 |
| Aerospatiale Caravelle 10B3              |    15 |       1 |  15        |    15 |    15 |
| Aerospatiale Caravelle 10R               |    36 |       1 |  36        |    36 |    36 |
| Aerospatiale Caravelle 3                 |    61 |       1 |  61        |    61 |    61 |
| Aerospatiale Caravelle 6N                |    41 |       1 |  41        |    41 |    41 |
| Aerospatiale Caravelle 6R                |    70 |       1 |  70        |    70 |    70 |
| Aerospatiale Caravelle Super 10B         |   112 |       1 | 112        |   112 |   112 |
| Aerospatiale Corvette                    |    10 |       1 |  10        |    10 |    10 |
| Aerospatiale Nord 262A-33                |     3 |       1 |   3        |     3 |     3 |
| Aerospatiale Puma                        |    12 |       1 |  12        |    12 |    12 |
| Aerospatiale SA-330J                     |    15 |       1 |  15        |    15 |    15 |
| Aerospatiale SA316B                      |     3 |       1 |   3        |     3 |     3 |
| Aerospatiale SA365N-1 Dauphin II         |     4 |       1 |   4        |     4 |     4 |
| Aerospatiale SN-601 Corvette             |     1 |       1 |   1        |     1 |     1 |
| Aerospeciale AS-350D                     |     3 |       1 |   3        |     3 |     3 |
| Aerostar 601                             |     6 |       2 |   3        |     4 |     2 |
| Aerostar 601P                            |     5 |       2 |   2.5      |     3 |     2 |
| Agusta A109A MK II                       |     5 |       1 |   5        |     5 |     5 |
| Airbus A-300-605R                        |   260 |       1 | 260        |   260 |   260 |
| Airbus A-310-204                         |   102 |       1 | 102        |   102 |   102 |
| Airbus A-310-304F                        |     0 |       1 |   0        |     0 |     0 |
| Airbus A-310-324                         |    32 |       1 |  32        |    32 |    32 |
| Airbus A-310-324ET                       |   125 |       1 | 125        |   125 |   125 |
| Airbus A-320-216                         |   162 |       1 | 162        |   162 |   162 |
| Airbus A-320-233                         |   190 |       2 |  95        |   187 |     3 |
| Airbus A-330-243                         |     0 |       1 |   0        |     0 |     0 |
| Airbus A-340                             |     0 |       1 |   0        |     0 |     0 |
| Airbus A.300B4-203                       |     5 |       1 |   5        |     5 |     5 |
| Airbus A.320-214                         |     0 |       1 |   0        |     0 |     0 |
| Airbus A.330-301                         |     1 |       1 |   1        |     1 |     1 |
| Airbus A300                              |     7 |       1 |   7        |     7 |     7 |
| Airbus A300-600R                         |     1 |       1 |   1        |     1 |     1 |
| Airbus A300-622R                         |   196 |       1 | 196        |   196 |   196 |
| Airbus A300-B4-200                       |   234 |       1 | 234        |   234 |   234 |
| Airbus A300B2-101                        |     1 |       1 |   1        |     1 |     1 |
| Airbus A300B2-1C                         |     3 |       1 |   3        |     3 |     3 |
| Airbus A300B2-203                        |   290 |       1 | 290        |   290 |   290 |
| Airbus A300B4-203                        |   167 |       1 | 167        |   167 |   167 |
| Airbus A300B4-203F                       |     5 |       1 |   5        |     5 |     5 |
| Airbus A300B4-622R                       |   264 |       2 | 132        |   264 |     0 |
| Airbus A300F-622R                        |     2 |       1 |   2        |     2 |     2 |
| Airbus A310-304                          |   188 |       2 |  94        |   113 |    75 |
| Airbus A310-324                          |   212 |       2 | 106        |   152 |    60 |
| Airbus A320-111                          |    90 |       2 |  45        |    87 |     3 |
| Airbus A320-211                          |   265 |       3 |  88.3333   |   150 |     2 |
| Airbus A320-212                          |   143 |       1 | 143        |   143 |   143 |
| Airbus A320-214                          |     0 |       1 |   0        |     0 |     0 |
| Airbus A320-231                          |    92 |       1 |  92        |    92 |    92 |
| Airbus A320-232                          |    73 |       2 |  36.5      |    66 |     7 |
| Airbus A321-111                          |     1 |       1 |   1        |     1 |     1 |
| Airbus A321-231                          |   376 |       2 | 188        |   224 |   152 |
| Airbus A330-202                          |   103 |       1 | 103        |   103 |   103 |
| Airbus A330-203                          |   228 |       1 | 228        |   228 |   228 |
| Airbus A330-321                          |     7 |       1 |   7        |     7 |     7 |
| AirbusA310-304                           |   169 |       1 | 169        |   169 |   169 |
| Airship                                  |    20 |       1 |  20        |    20 |    20 |
| Airspeed AS-65 Consul                    |     6 |       1 |   6        |     6 |     6 |
| Airspeed AS.57 Ambassador 2              |     6 |       1 |   6        |     6 |     6 |
| Airspeed Ambassador AS-57                |    23 |       1 |  23        |    23 |    23 |
| Airspeed Oxford                          |     2 |       1 |   2        |     2 |     2 |
| Antonov 10A                              |    32 |       1 |  32        |    32 |    32 |
| Antonov 12                               |    27 |       5 |   5.4      |    11 |     0 |
| Antonov 12B                              |     7 |       2 |   3.5      |     6 |     1 |
| Antonov 12BK                             |    56 |       3 |  18.6667   |    41 |     7 |
